//1_2_telrij_tellen_heen_welk_getal_mist.ps
//1_2_telrij_tellen_heen_welk_getal_mist.ps from: 1 span: 10 maxanswer: 20 spreiding: 3 step: 1
1 3 4 5#1,2,3,4,5#2
41 43 44 45#41,42,43,44,45#42
41 42 44 45#41,42,43,44,45#43
41 42 43 45#41,42,43,44,45#44
42 44 45 46#42,43,44,45,46#43
42 43 45 46#42,43,44,45,46#44
42 43 44 46#42,43,44,45,46#45
43 45 46 47#43,44,45,46,47#44
43 44 46 47#43,44,45,46,47#45
43 44 45 47#43,44,45,46,47#46
44 46 47 48#44,45,46,47,48#45
44 45 47 48#44,45,46,47,48#46
44 45 46 48#44,45,46,47,48#47
40 42 43 44#40,41,42,43,44#41
40 41 43 44#40,41,42,43,44#42
40 41 42 44#40,41,42,43,44#43
41 43 44 45#41,42,43,44,45#42
41 42 44 45#41,42,43,44,45#43
41 42 43 45#41,42,43,44,45#44
42 44 45 46#42,43,44,45,46#43
42 43 45 46#42,43,44,45,46#44
42 43 44 46#42,43,44,45,46#45
43 45 46 47#43,44,45,46,47#44
43 44 46 47#43,44,45,46,47#45
43 44 45 47#43,44,45,46,47#46
44 46 47 48#44,45,46,47,48#45
44 45 47 48#44,45,46,47,48#46
44 45 46 48#44,45,46,47,48#47
45 47 48 49#45,46,47,48,49#46
45 46 48 49#45,46,47,48,49#47
45 46 47 49#45,46,47,48,49#48
41 43 44 45#41,42,43,44,45#42
41 42 44 45#41,42,43,44,45#43
41 42 43 45#41,42,43,44,45#44
42 44 45 46#42,43,44,45,46#43
42 43 45 46#42,43,44,45,46#44
42 43 44 46#42,43,44,45,46#45
43 45 46 47#43,44,45,46,47#44
43 44 46 47#43,44,45,46,47#45
43 44 45 47#43,44,45,46,47#46
44 46 47 48#44,45,46,47,48#45
44 45 47 48#44,45,46,47,48#46
44 45 46 48#44,45,46,47,48#47
45 47 48 49#45,46,47,48,49#46
45 46 48 49#45,46,47,48,49#47
45 46 47 49#45,46,47,48,49#48
46 48 49 50#46,47,48,49,50#47
46 47 49 50#46,47,48,49,50#48
46 47 48 50#46,47,48,49,50#49
42 44 45 46#42,43,44,45,46#43
42 43 45 46#42,43,44,45,46#44
42 43 44 46#42,43,44,45,46#45
43 45 46 47#43,44,45,46,47#44
43 44 46 47#43,44,45,46,47#45
43 44 45 47#43,44,45,46,47#46
44 46 47 48#44,45,46,47,48#45
44 45 47 48#44,45,46,47,48#46
44 45 46 48#44,45,46,47,48#47
45 47 48 49#45,46,47,48,49#46
45 46 48 49#45,46,47,48,49#47
45 46 47 49#45,46,47,48,49#48
46 48 49 50#46,47,48,49,50#47
46 47 49 50#46,47,48,49,50#48
46 47 48 50#46,47,48,49,50#49
47 49 50 51#47,48,49,50,51#48
47 48 50 51#47,48,49,50,51#49
47 48 49 51#47,48,49,50,51#50
43 45 46 47#43,44,45,46,47#44
43 44 46 47#43,44,45,46,47#45
43 44 45 47#43,44,45,46,47#46
44 46 47 48#44,45,46,47,48#45
44 45 47 48#44,45,46,47,48#46
44 45 46 48#44,45,46,47,48#47
45 47 48 49#45,46,47,48,49#46
45 46 48 49#45,46,47,48,49#47
45 46 47 49#45,46,47,48,49#48
46 48 49 50#46,47,48,49,50#47
46 47 49 50#46,47,48,49,50#48
46 47 48 50#46,47,48,49,50#49
47 49 50 51#47,48,49,50,51#48
47 48 50 51#47,48,49,50,51#49
47 48 49 51#47,48,49,50,51#50
48 50 51 52#48,49,50,51,52#49
48 49 51 52#48,49,50,51,52#50
48 49 50 52#48,49,50,51,52#51
44 46 47 48#44,45,46,47,48#45
44 45 47 48#44,45,46,47,48#46
44 45 46 48#44,45,46,47,48#47
45 47 48 49#45,46,47,48,49#46
45 46 48 49#45,46,47,48,49#47
45 46 47 49#45,46,47,48,49#48
46 48 49 50#46,47,48,49,50#47
46 47 49 50#46,47,48,49,50#48
46 47 48 50#46,47,48,49,50#49
47 49 50 51#47,48,49,50,51#48
47 48 50 51#47,48,49,50,51#49
47 48 49 51#47,48,49,50,51#50
48 50 51 52#48,49,50,51,52#49
48 49 51 52#48,49,50,51,52#50
48 49 50 52#48,49,50,51,52#51
49 51 52 53#49,50,51,52,53#50
49 50 52 53#49,50,51,52,53#51
49 50 51 53#49,50,51,52,53#52
45 47 48 49#45,46,47,48,49#46
45 46 48 49#45,46,47,48,49#47
45 46 47 49#45,46,47,48,49#48
46 48 49 50#46,47,48,49,50#47
46 47 49 50#46,47,48,49,50#48
46 47 48 50#46,47,48,49,50#49
47 49 50 51#47,48,49,50,51#48
47 48 50 51#47,48,49,50,51#49
47 48 49 51#47,48,49,50,51#50
48 50 51 52#48,49,50,51,52#49
48 49 51 52#48,49,50,51,52#50
48 49 50 52#48,49,50,51,52#51
49 51 52 53#49,50,51,52,53#50
49 50 52 53#49,50,51,52,53#51
49 50 51 53#49,50,51,52,53#52
50 52 53 54#50,51,52,53,54#51
50 51 53 54#50,51,52,53,54#52
50 51 52 54#50,51,52,53,54#53
46 48 49 50#46,47,48,49,50#47
46 47 49 50#46,47,48,49,50#48
46 47 48 50#46,47,48,49,50#49
47 49 50 51#47,48,49,50,51#48
47 48 50 51#47,48,49,50,51#49
47 48 49 51#47,48,49,50,51#50
48 50 51 52#48,49,50,51,52#49
48 49 51 52#48,49,50,51,52#50
48 49 50 52#48,49,50,51,52#51
49 51 52 53#49,50,51,52,53#50
49 50 52 53#49,50,51,52,53#51
49 50 51 53#49,50,51,52,53#52
50 52 53 54#50,51,52,53,54#51
50 51 53 54#50,51,52,53,54#52
50 51 52 54#50,51,52,53,54#53
51 53 54 55#51,52,53,54,55#52
51 52 54 55#51,52,53,54,55#53
51 52 53 55#51,52,53,54,55#54
47 49 50 51#47,48,49,50,51#48
47 48 50 51#47,48,49,50,51#49
47 48 49 51#47,48,49,50,51#50
48 50 51 52#48,49,50,51,52#49
48 49 51 52#48,49,50,51,52#50
48 49 50 52#48,49,50,51,52#51
49 51 52 53#49,50,51,52,53#50
49 50 52 53#49,50,51,52,53#51
49 50 51 53#49,50,51,52,53#52
50 52 53 54#50,51,52,53,54#51
50 51 53 54#50,51,52,53,54#52
50 51 52 54#50,51,52,53,54#53
51 53 54 55#51,52,53,54,55#52
51 52 54 55#51,52,53,54,55#53
51 52 53 55#51,52,53,54,55#54
52 54 55 56#52,53,54,55,56#53
52 53 55 56#52,53,54,55,56#54
52 53 54 56#52,53,54,55,56#55
48 50 51 52#48,49,50,51,52#49
48 49 51 52#48,49,50,51,52#50
48 49 50 52#48,49,50,51,52#51
49 51 52 53#49,50,51,52,53#50
49 50 52 53#49,50,51,52,53#51
49 50 51 53#49,50,51,52,53#52
50 52 53 54#50,51,52,53,54#51
50 51 53 54#50,51,52,53,54#52
50 51 52 54#50,51,52,53,54#53
51 53 54 55#51,52,53,54,55#52
51 52 54 55#51,52,53,54,55#53
51 52 53 55#51,52,53,54,55#54
52 54 55 56#52,53,54,55,56#53
52 53 55 56#52,53,54,55,56#54
52 53 54 56#52,53,54,55,56#55
53 55 56 57#53,54,55,56,57#54
53 54 56 57#53,54,55,56,57#55
53 54 55 57#53,54,55,56,57#56
49 51 52 53#49,50,51,52,53#50
49 50 52 53#49,50,51,52,53#51
49 50 51 53#49,50,51,52,53#52
50 52 53 54#50,51,52,53,54#51
50 51 53 54#50,51,52,53,54#52
50 51 52 54#50,51,52,53,54#53
51 53 54 55#51,52,53,54,55#52
51 52 54 55#51,52,53,54,55#53
51 52 53 55#51,52,53,54,55#54
52 54 55 56#52,53,54,55,56#53
52 53 55 56#52,53,54,55,56#54
52 53 54 56#52,53,54,55,56#55
53 55 56 57#53,54,55,56,57#54
53 54 56 57#53,54,55,56,57#55
53 54 55 57#53,54,55,56,57#56
54 56 57 58#54,55,56,57,58#55
54 55 57 58#54,55,56,57,58#56
54 55 56 58#54,55,56,57,58#57
50 52 53 54#50,51,52,53,54#51
50 51 53 54#50,51,52,53,54#52
50 51 52 54#50,51,52,53,54#53
51 53 54 55#51,52,53,54,55#52
51 52 54 55#51,52,53,54,55#53
51 52 53 55#51,52,53,54,55#54
52 54 55 56#52,53,54,55,56#53
52 53 55 56#52,53,54,55,56#54
52 53 54 56#52,53,54,55,56#55
53 55 56 57#53,54,55,56,57#54
53 54 56 57#53,54,55,56,57#55
53 54 55 57#53,54,55,56,57#56
54 56 57 58#54,55,56,57,58#55
54 55 57 58#54,55,56,57,58#56
54 55 56 58#54,55,56,57,58#57
55 57 58 59#55,56,57,58,59#56
55 56 58 59#55,56,57,58,59#57
55 56 57 59#55,56,57,58,59#58
51 53 54 55#51,52,53,54,55#52
51 52 54 55#51,52,53,54,55#53
51 52 53 55#51,52,53,54,55#54
52 54 55 56#52,53,54,55,56#53
52 53 55 56#52,53,54,55,56#54
52 53 54 56#52,53,54,55,56#55
53 55 56 57#53,54,55,56,57#54
53 54 56 57#53,54,55,56,57#55
53 54 55 57#53,54,55,56,57#56
54 56 57 58#54,55,56,57,58#55
54 55 57 58#54,55,56,57,58#56
54 55 56 58#54,55,56,57,58#57
55 57 58 59#55,56,57,58,59#56
55 56 58 59#55,56,57,58,59#57
55 56 57 59#55,56,57,58,59#58
56 58 59 60#56,57,58,59,60#57
56 57 59 60#56,57,58,59,60#58
56 57 58 60#56,57,58,59,60#59
52 54 55 56#52,53,54,55,56#53
52 53 55 56#52,53,54,55,56#54
52 53 54 56#52,53,54,55,56#55
53 55 56 57#53,54,55,56,57#54
53 54 56 57#53,54,55,56,57#55
53 54 55 57#53,54,55,56,57#56
54 56 57 58#54,55,56,57,58#55
54 55 57 58#54,55,56,57,58#56
54 55 56 58#54,55,56,57,58#57
55 57 58 59#55,56,57,58,59#56
55 56 58 59#55,56,57,58,59#57
55 56 57 59#55,56,57,58,59#58
56 58 59 60#56,57,58,59,60#57
56 57 59 60#56,57,58,59,60#58
56 57 58 60#56,57,58,59,60#59
57 59 60 61#57,58,59,60,61#58
57 58 60 61#57,58,59,60,61#59
57 58 59 61#57,58,59,60,61#60
53 55 56 57#53,54,55,56,57#54
53 54 56 57#53,54,55,56,57#55
53 54 55 57#53,54,55,56,57#56
54 56 57 58#54,55,56,57,58#55
54 55 57 58#54,55,56,57,58#56
54 55 56 58#54,55,56,57,58#57
55 57 58 59#55,56,57,58,59#56
55 56 58 59#55,56,57,58,59#57
55 56 57 59#55,56,57,58,59#58
56 58 59 60#56,57,58,59,60#57
56 57 59 60#56,57,58,59,60#58
56 57 58 60#56,57,58,59,60#59
57 59 60 61#57,58,59,60,61#58
57 58 60 61#57,58,59,60,61#59
57 58 59 61#57,58,59,60,61#60
58 60 61 62#58,59,60,61,62#59
58 59 61 62#58,59,60,61,62#60
58 59 60 62#58,59,60,61,62#61
54 56 57 58#54,55,56,57,58#55
54 55 57 58#54,55,56,57,58#56
54 55 56 58#54,55,56,57,58#57
55 57 58 59#55,56,57,58,59#56
55 56 58 59#55,56,57,58,59#57
55 56 57 59#55,56,57,58,59#58
56 58 59 60#56,57,58,59,60#57
56 57 59 60#56,57,58,59,60#58
56 57 58 60#56,57,58,59,60#59
57 59 60 61#57,58,59,60,61#58
57 58 60 61#57,58,59,60,61#59
57 58 59 61#57,58,59,60,61#60
58 60 61 62#58,59,60,61,62#59
58 59 61 62#58,59,60,61,62#60
58 59 60 62#58,59,60,61,62#61
59 61 62 63#59,60,61,62,63#60
59 60 62 63#59,60,61,62,63#61
59 60 61 63#59,60,61,62,63#62
55 57 58 59#55,56,57,58,59#56
55 56 58 59#55,56,57,58,59#57
55 56 57 59#55,56,57,58,59#58
56 58 59 60#56,57,58,59,60#57
56 57 59 60#56,57,58,59,60#58
56 57 58 60#56,57,58,59,60#59
57 59 60 61#57,58,59,60,61#58
57 58 60 61#57,58,59,60,61#59
57 58 59 61#57,58,59,60,61#60
58 60 61 62#58,59,60,61,62#59
58 59 61 62#58,59,60,61,62#60
58 59 60 62#58,59,60,61,62#61
59 61 62 63#59,60,61,62,63#60
59 60 62 63#59,60,61,62,63#61
59 60 61 63#59,60,61,62,63#62
60 62 63 64#60,61,62,63,64#61
60 61 63 64#60,61,62,63,64#62
60 61 62 64#60,61,62,63,64#63
56 58 59 60#56,57,58,59,60#57
56 57 59 60#56,57,58,59,60#58
56 57 58 60#56,57,58,59,60#59
57 59 60 61#57,58,59,60,61#58
57 58 60 61#57,58,59,60,61#59
57 58 59 61#57,58,59,60,61#60
58 60 61 62#58,59,60,61,62#59
58 59 61 62#58,59,60,61,62#60
58 59 60 62#58,59,60,61,62#61
59 61 62 63#59,60,61,62,63#60
59 60 62 63#59,60,61,62,63#61
59 60 61 63#59,60,61,62,63#62
60 62 63 64#60,61,62,63,64#61
60 61 63 64#60,61,62,63,64#62
60 61 62 64#60,61,62,63,64#63
61 63 64 65#61,62,63,64,65#62
61 62 64 65#61,62,63,64,65#63
61 62 63 65#61,62,63,64,65#64
57 59 60 61#57,58,59,60,61#58
57 58 60 61#57,58,59,60,61#59
57 58 59 61#57,58,59,60,61#60
58 60 61 62#58,59,60,61,62#59
58 59 61 62#58,59,60,61,62#60
58 59 60 62#58,59,60,61,62#61
59 61 62 63#59,60,61,62,63#60
59 60 62 63#59,60,61,62,63#61
59 60 61 63#59,60,61,62,63#62
60 62 63 64#60,61,62,63,64#61
60 61 63 64#60,61,62,63,64#62
60 61 62 64#60,61,62,63,64#63
61 63 64 65#61,62,63,64,65#62
61 62 64 65#61,62,63,64,65#63
61 62 63 65#61,62,63,64,65#64
62 64 65 66#62,63,64,65,66#63
62 63 65 66#62,63,64,65,66#64
62 63 64 66#62,63,64,65,66#65
58 60 61 62#58,59,60,61,62#59
58 59 61 62#58,59,60,61,62#60
58 59 60 62#58,59,60,61,62#61
59 61 62 63#59,60,61,62,63#60
59 60 62 63#59,60,61,62,63#61
59 60 61 63#59,60,61,62,63#62
60 62 63 64#60,61,62,63,64#61
60 61 63 64#60,61,62,63,64#62
60 61 62 64#60,61,62,63,64#63
61 63 64 65#61,62,63,64,65#62
61 62 64 65#61,62,63,64,65#63
61 62 63 65#61,62,63,64,65#64
62 64 65 66#62,63,64,65,66#63
62 63 65 66#62,63,64,65,66#64
62 63 64 66#62,63,64,65,66#65
63 65 66 67#63,64,65,66,67#64
63 64 66 67#63,64,65,66,67#65
63 64 65 67#63,64,65,66,67#66
59 61 62 63#59,60,61,62,63#60
59 60 62 63#59,60,61,62,63#61
59 60 61 63#59,60,61,62,63#62
60 62 63 64#60,61,62,63,64#61
60 61 63 64#60,61,62,63,64#62
60 61 62 64#60,61,62,63,64#63
61 63 64 65#61,62,63,64,65#62
61 62 64 65#61,62,63,64,65#63
61 62 63 65#61,62,63,64,65#64
62 64 65 66#62,63,64,65,66#63
62 63 65 66#62,63,64,65,66#64
62 63 64 66#62,63,64,65,66#65
63 65 66 67#63,64,65,66,67#64
63 64 66 67#63,64,65,66,67#65
63 64 65 67#63,64,65,66,67#66
64 66 67 68#64,65,66,67,68#65
64 65 67 68#64,65,66,67,68#66
64 65 66 68#64,65,66,67,68#67
60 62 63 64#60,61,62,63,64#61
60 61 63 64#60,61,62,63,64#62
60 61 62 64#60,61,62,63,64#63
61 63 64 65#61,62,63,64,65#62
61 62 64 65#61,62,63,64,65#63
61 62 63 65#61,62,63,64,65#64
62 64 65 66#62,63,64,65,66#63
62 63 65 66#62,63,64,65,66#64
62 63 64 66#62,63,64,65,66#65
63 65 66 67#63,64,65,66,67#64
63 64 66 67#63,64,65,66,67#65
63 64 65 67#63,64,65,66,67#66
64 66 67 68#64,65,66,67,68#65
64 65 67 68#64,65,66,67,68#66
64 65 66 68#64,65,66,67,68#67
65 67 68 69#65,66,67,68,69#66
65 66 68 69#65,66,67,68,69#67
65 66 67 69#65,66,67,68,69#68
61 63 64 65#61,62,63,64,65#62
61 62 64 65#61,62,63,64,65#63
61 62 63 65#61,62,63,64,65#64
62 64 65 66#62,63,64,65,66#63
62 63 65 66#62,63,64,65,66#64
62 63 64 66#62,63,64,65,66#65
63 65 66 67#63,64,65,66,67#64
63 64 66 67#63,64,65,66,67#65
63 64 65 67#63,64,65,66,67#66
64 66 67 68#64,65,66,67,68#65
64 65 67 68#64,65,66,67,68#66
64 65 66 68#64,65,66,67,68#67
65 67 68 69#65,66,67,68,69#66
65 66 68 69#65,66,67,68,69#67
65 66 67 69#65,66,67,68,69#68
66 68 69 70#66,67,68,69,70#67
66 67 69 70#66,67,68,69,70#68
66 67 68 70#66,67,68,69,70#69
62 64 65 66#62,63,64,65,66#63
62 63 65 66#62,63,64,65,66#64
62 63 64 66#62,63,64,65,66#65
63 65 66 67#63,64,65,66,67#64
63 64 66 67#63,64,65,66,67#65
63 64 65 67#63,64,65,66,67#66
64 66 67 68#64,65,66,67,68#65
64 65 67 68#64,65,66,67,68#66
64 65 66 68#64,65,66,67,68#67
65 67 68 69#65,66,67,68,69#66
65 66 68 69#65,66,67,68,69#67
65 66 67 69#65,66,67,68,69#68
66 68 69 70#66,67,68,69,70#67
66 67 69 70#66,67,68,69,70#68
66 67 68 70#66,67,68,69,70#69
67 69 70 71#67,68,69,70,71#68
67 68 70 71#67,68,69,70,71#69
67 68 69 71#67,68,69,70,71#70
63 65 66 67#63,64,65,66,67#64
63 64 66 67#63,64,65,66,67#65
63 64 65 67#63,64,65,66,67#66
64 66 67 68#64,65,66,67,68#65
64 65 67 68#64,65,66,67,68#66
64 65 66 68#64,65,66,67,68#67
65 67 68 69#65,66,67,68,69#66
65 66 68 69#65,66,67,68,69#67
65 66 67 69#65,66,67,68,69#68
66 68 69 70#66,67,68,69,70#67
66 67 69 70#66,67,68,69,70#68
66 67 68 70#66,67,68,69,70#69
67 69 70 71#67,68,69,70,71#68
67 68 70 71#67,68,69,70,71#69
67 68 69 71#67,68,69,70,71#70
68 70 71 72#68,69,70,71,72#69
68 69 71 72#68,69,70,71,72#70
68 69 70 72#68,69,70,71,72#71
64 66 67 68#64,65,66,67,68#65
64 65 67 68#64,65,66,67,68#66
64 65 66 68#64,65,66,67,68#67
65 67 68 69#65,66,67,68,69#66
65 66 68 69#65,66,67,68,69#67
65 66 67 69#65,66,67,68,69#68
66 68 69 70#66,67,68,69,70#67
66 67 69 70#66,67,68,69,70#68
66 67 68 70#66,67,68,69,70#69
67 69 70 71#67,68,69,70,71#68
67 68 70 71#67,68,69,70,71#69
67 68 69 71#67,68,69,70,71#70
68 70 71 72#68,69,70,71,72#69
68 69 71 72#68,69,70,71,72#70
68 69 70 72#68,69,70,71,72#71
69 71 72 73#69,70,71,72,73#70
69 70 72 73#69,70,71,72,73#71
69 70 71 73#69,70,71,72,73#72
65 67 68 69#65,66,67,68,69#66
65 66 68 69#65,66,67,68,69#67
65 66 67 69#65,66,67,68,69#68
66 68 69 70#66,67,68,69,70#67
66 67 69 70#66,67,68,69,70#68
66 67 68 70#66,67,68,69,70#69
67 69 70 71#67,68,69,70,71#68
67 68 70 71#67,68,69,70,71#69
67 68 69 71#67,68,69,70,71#70
68 70 71 72#68,69,70,71,72#69
68 69 71 72#68,69,70,71,72#70
68 69 70 72#68,69,70,71,72#71
69 71 72 73#69,70,71,72,73#70
69 70 72 73#69,70,71,72,73#71
69 70 71 73#69,70,71,72,73#72
70 72 73 74#70,71,72,73,74#71
70 71 73 74#70,71,72,73,74#72
70 71 72 74#70,71,72,73,74#73
66 68 69 70#66,67,68,69,70#67
66 67 69 70#66,67,68,69,70#68
66 67 68 70#66,67,68,69,70#69
67 69 70 71#67,68,69,70,71#68
67 68 70 71#67,68,69,70,71#69
67 68 69 71#67,68,69,70,71#70
68 70 71 72#68,69,70,71,72#69
68 69 71 72#68,69,70,71,72#70
68 69 70 72#68,69,70,71,72#71
69 71 72 73#69,70,71,72,73#70
69 70 72 73#69,70,71,72,73#71
69 70 71 73#69,70,71,72,73#72
70 72 73 74#70,71,72,73,74#71
70 71 73 74#70,71,72,73,74#72
70 71 72 74#70,71,72,73,74#73
71 73 74 75#71,72,73,74,75#72
71 72 74 75#71,72,73,74,75#73
71 72 73 75#71,72,73,74,75#74
67 69 70 71#67,68,69,70,71#68
67 68 70 71#67,68,69,70,71#69
67 68 69 71#67,68,69,70,71#70
68 70 71 72#68,69,70,71,72#69
68 69 71 72#68,69,70,71,72#70
68 69 70 72#68,69,70,71,72#71
69 71 72 73#69,70,71,72,73#70
69 70 72 73#69,70,71,72,73#71
69 70 71 73#69,70,71,72,73#72
70 72 73 74#70,71,72,73,74#71
70 71 73 74#70,71,72,73,74#72
70 71 72 74#70,71,72,73,74#73
71 73 74 75#71,72,73,74,75#72
71 72 74 75#71,72,73,74,75#73
71 72 73 75#71,72,73,74,75#74
72 74 75 76#72,73,74,75,76#73
72 73 75 76#72,73,74,75,76#74
72 73 74 76#72,73,74,75,76#75
68 70 71 72#68,69,70,71,72#69
68 69 71 72#68,69,70,71,72#70
68 69 70 72#68,69,70,71,72#71
69 71 72 73#69,70,71,72,73#70
69 70 72 73#69,70,71,72,73#71
69 70 71 73#69,70,71,72,73#72
70 72 73 74#70,71,72,73,74#71
70 71 73 74#70,71,72,73,74#72
70 71 72 74#70,71,72,73,74#73
71 73 74 75#71,72,73,74,75#72
71 72 74 75#71,72,73,74,75#73
71 72 73 75#71,72,73,74,75#74
72 74 75 76#72,73,74,75,76#73
72 73 75 76#72,73,74,75,76#74
72 73 74 76#72,73,74,75,76#75
73 75 76 77#73,74,75,76,77#74
73 74 76 77#73,74,75,76,77#75
73 74 75 77#73,74,75,76,77#76
69 71 72 73#69,70,71,72,73#70
69 70 72 73#69,70,71,72,73#71
69 70 71 73#69,70,71,72,73#72
70 72 73 74#70,71,72,73,74#71
70 71 73 74#70,71,72,73,74#72
70 71 72 74#70,71,72,73,74#73
71 73 74 75#71,72,73,74,75#72
71 72 74 75#71,72,73,74,75#73
71 72 73 75#71,72,73,74,75#74
72 74 75 76#72,73,74,75,76#73
72 73 75 76#72,73,74,75,76#74
72 73 74 76#72,73,74,75,76#75
73 75 76 77#73,74,75,76,77#74
73 74 76 77#73,74,75,76,77#75
73 74 75 77#73,74,75,76,77#76
74 76 77 78#74,75,76,77,78#75
74 75 77 78#74,75,76,77,78#76
74 75 76 78#74,75,76,77,78#77
70 72 73 74#70,71,72,73,74#71
70 71 73 74#70,71,72,73,74#72
70 71 72 74#70,71,72,73,74#73
71 73 74 75#71,72,73,74,75#72
71 72 74 75#71,72,73,74,75#73
71 72 73 75#71,72,73,74,75#74
72 74 75 76#72,73,74,75,76#73
72 73 75 76#72,73,74,75,76#74
72 73 74 76#72,73,74,75,76#75
73 75 76 77#73,74,75,76,77#74
73 74 76 77#73,74,75,76,77#75
73 74 75 77#73,74,75,76,77#76
74 76 77 78#74,75,76,77,78#75
74 75 77 78#74,75,76,77,78#76
74 75 76 78#74,75,76,77,78#77
75 77 78 79#75,76,77,78,79#76
75 76 78 79#75,76,77,78,79#77
75 76 77 79#75,76,77,78,79#78
71 73 74 75#71,72,73,74,75#72
71 72 74 75#71,72,73,74,75#73
71 72 73 75#71,72,73,74,75#74
72 74 75 76#72,73,74,75,76#73
72 73 75 76#72,73,74,75,76#74
72 73 74 76#72,73,74,75,76#75
73 75 76 77#73,74,75,76,77#74
73 74 76 77#73,74,75,76,77#75
73 74 75 77#73,74,75,76,77#76
74 76 77 78#74,75,76,77,78#75
74 75 77 78#74,75,76,77,78#76
74 75 76 78#74,75,76,77,78#77
75 77 78 79#75,76,77,78,79#76
75 76 78 79#75,76,77,78,79#77
75 76 77 79#75,76,77,78,79#78
76 78 79 80#76,77,78,79,80#77
76 77 79 80#76,77,78,79,80#78
76 77 78 80#76,77,78,79,80#79
72 74 75 76#72,73,74,75,76#73
72 73 75 76#72,73,74,75,76#74
72 73 74 76#72,73,74,75,76#75
73 75 76 77#73,74,75,76,77#74
73 74 76 77#73,74,75,76,77#75
73 74 75 77#73,74,75,76,77#76
74 76 77 78#74,75,76,77,78#75
74 75 77 78#74,75,76,77,78#76
74 75 76 78#74,75,76,77,78#77
75 77 78 79#75,76,77,78,79#76
75 76 78 79#75,76,77,78,79#77
75 76 77 79#75,76,77,78,79#78
76 78 79 80#76,77,78,79,80#77
76 77 79 80#76,77,78,79,80#78
76 77 78 80#76,77,78,79,80#79
77 79 80 81#77,78,79,80,81#78
77 78 80 81#77,78,79,80,81#79
77 78 79 81#77,78,79,80,81#80
73 75 76 77#73,74,75,76,77#74
73 74 76 77#73,74,75,76,77#75
73 74 75 77#73,74,75,76,77#76
74 76 77 78#74,75,76,77,78#75
74 75 77 78#74,75,76,77,78#76
74 75 76 78#74,75,76,77,78#77
75 77 78 79#75,76,77,78,79#76
75 76 78 79#75,76,77,78,79#77
75 76 77 79#75,76,77,78,79#78
76 78 79 80#76,77,78,79,80#77
76 77 79 80#76,77,78,79,80#78
76 77 78 80#76,77,78,79,80#79
77 79 80 81#77,78,79,80,81#78
77 78 80 81#77,78,79,80,81#79
77 78 79 81#77,78,79,80,81#80
78 80 81 82#78,79,80,81,82#79
78 79 81 82#78,79,80,81,82#80
78 79 80 82#78,79,80,81,82#81
74 76 77 78#74,75,76,77,78#75
74 75 77 78#74,75,76,77,78#76
74 75 76 78#74,75,76,77,78#77
75 77 78 79#75,76,77,78,79#76
75 76 78 79#75,76,77,78,79#77
75 76 77 79#75,76,77,78,79#78
76 78 79 80#76,77,78,79,80#77
76 77 79 80#76,77,78,79,80#78
76 77 78 80#76,77,78,79,80#79
77 79 80 81#77,78,79,80,81#78
77 78 80 81#77,78,79,80,81#79
77 78 79 81#77,78,79,80,81#80
78 80 81 82#78,79,80,81,82#79
78 79 81 82#78,79,80,81,82#80
78 79 80 82#78,79,80,81,82#81
79 81 82 83#79,80,81,82,83#80
79 80 82 83#79,80,81,82,83#81
79 80 81 83#79,80,81,82,83#82
75 77 78 79#75,76,77,78,79#76
75 76 78 79#75,76,77,78,79#77
75 76 77 79#75,76,77,78,79#78
76 78 79 80#76,77,78,79,80#77
76 77 79 80#76,77,78,79,80#78
76 77 78 80#76,77,78,79,80#79
77 79 80 81#77,78,79,80,81#78
77 78 80 81#77,78,79,80,81#79
77 78 79 81#77,78,79,80,81#80
78 80 81 82#78,79,80,81,82#79
78 79 81 82#78,79,80,81,82#80
78 79 80 82#78,79,80,81,82#81
79 81 82 83#79,80,81,82,83#80
79 80 82 83#79,80,81,82,83#81
79 80 81 83#79,80,81,82,83#82
80 82 83 84#80,81,82,83,84#81
80 81 83 84#80,81,82,83,84#82
80 81 82 84#80,81,82,83,84#83
76 78 79 80#76,77,78,79,80#77
76 77 79 80#76,77,78,79,80#78
76 77 78 80#76,77,78,79,80#79
77 79 80 81#77,78,79,80,81#78
77 78 80 81#77,78,79,80,81#79
77 78 79 81#77,78,79,80,81#80
78 80 81 82#78,79,80,81,82#79
78 79 81 82#78,79,80,81,82#80
78 79 80 82#78,79,80,81,82#81
79 81 82 83#79,80,81,82,83#80
79 80 82 83#79,80,81,82,83#81
79 80 81 83#79,80,81,82,83#82
80 82 83 84#80,81,82,83,84#81
80 81 83 84#80,81,82,83,84#82
80 81 82 84#80,81,82,83,84#83
81 83 84 85#81,82,83,84,85#82
81 82 84 85#81,82,83,84,85#83
81 82 83 85#81,82,83,84,85#84
77 79 80 81#77,78,79,80,81#78
77 78 80 81#77,78,79,80,81#79
77 78 79 81#77,78,79,80,81#80
78 80 81 82#78,79,80,81,82#79
78 79 81 82#78,79,80,81,82#80
78 79 80 82#78,79,80,81,82#81
79 81 82 83#79,80,81,82,83#80
79 80 82 83#79,80,81,82,83#81
79 80 81 83#79,80,81,82,83#82
80 82 83 84#80,81,82,83,84#81
80 81 83 84#80,81,82,83,84#82
80 81 82 84#80,81,82,83,84#83
81 83 84 85#81,82,83,84,85#82
81 82 84 85#81,82,83,84,85#83
81 82 83 85#81,82,83,84,85#84
82 84 85 86#82,83,84,85,86#83
